run_id,growth_rate,balancing_strength,target,delay,capacity,threshold,threshold_correction,shock_size,minimum_stock,maximum_stock,final_stock,time_to_peak,maximum_inflow,maximum_outflow,threshold_active_periods
227,0.072646,0.021122,65.377626,9,107.688175,81.930028,0.035884,-4.083652,15.000000,92.482364,92.459532,72,1.955288,0.572503,119
228,0.109797,0.087227,50.037830,11,72.860861,74.623062,0.040111,-5.640631,15.000000,66.540581,62.022080,36,1.998532,1.439486,0
229,0.089505,0.074369,57.085552,13,78.123228,71.745382,0.074115,-12.871567,15.000000,72.104588,68.009487,46,1.747795,1.116955,6
230,0.098152,0.070378,64.371206,11,85.605919,73.782960,0.079144,-14.920983,15.000000,77.947885,75.317665,42,2.100575,0.955500,110
231,0.121542,0.079591,63.003324,2,88.961520,83.210410,0.064124,-13.616437,15.000000,77.850984,77.850984,90,2.701378,1.181741,0
232,0.122992,0.054809,61.585789,11,101.617803,66.195611,0.098546,-9.711283,15.000000,81.962628,78.755714,32,3.122693,1.116832,141
233,0.076740,0.065017,47.555448,3,80.091750,88.366565,0.100048,-15.187764,15.000000,63.251887,63.251887,160,1.536245,1.020531,0
234,0.060603,0.021067,66.294117,14,77.051882,94.657731,0.098462,-11.797286,15.000000,74.368643,74.220103,90,1.167278,0.170110,0
235,0.072553,0.078034,59.154101,12,86.874802,70.240126,0.083899,-6.038478,15.000000,74.257412,70.868444,49,1.575725,1.178576,88
236,0.117270,0.053492,45.749077,5,81.525358,75.096035,0.043001,-15.156447,15.000000,69.065849,68.995851,40,2.390099,1.247255,0
237,0.111968,0.024425,47.998088,3,86.678906,73.395852,0.082542,-7.821904,15.000000,76.777089,76.777089,160,2.425824,0.702937,123
238,0.093904,0.085040,69.955614,11,79.842165,67.927905,0.084794,-11.570812,15.000000,73.503430,72.587748,115,1.874270,0.301705,118
239,0.105181,0.053151,48.003177,7,84.026728,80.313542,0.071143,-9.050875,15.000000,71.388047,70.484445,38,2.209210,1.242925,0
240,0.064589,0.034667,48.567242,2,87.405618,65.293673,0.039732,-13.949667,15.000000,69.735013,69.735013,160,1.411186,0.733787,103
241,0.076810,0.081701,48.595036,2,105.535776,90.072966,0.097249,-7.519519,15.000000,70.574327,70.574327,160,2.026385,1.795717,0
242,0.075756,0.024664,47.883407,2,107.984867,93.203329,0.032350,-10.362369,15.000000,91.236326,91.236326,160,2.044521,1.069092,0
243,0.119658,0.063252,53.917231,7,68.818409,69.095221,0.069751,-11.063755,15.000000,64.323651,63.384088,36,2.058554,0.658228,0
244,0.084677,0.040870,59.069592,10,92.234460,68.529907,0.056839,-11.206284,15.000000,77.562735,76.109898,45,1.952132,0.755808,123
245,0.112929,0.041687,64.130645,2,94.608810,94.070293,0.069668,-8.726349,15.000000,85.791078,85.791078,160,2.670949,0.902949,0
246,0.111311,0.074933,46.689584,7,85.567566,84.083504,0.059580,-6.341825,15.000000,70.375184,67.694040,32,2.380879,1.774836,0
247,0.066120,0.046404,57.951390,12,85.596856,82.419624,0.083226,-15.709254,15.000000,75.311968,72.944360,60,1.414785,0.805607,0
248,0.111771,0.027851,59.584514,13,80.098648,86.210376,0.024465,-11.102882,15.000000,76.903030,75.816710,46,2.237150,0.482346,0
249,0.117679,0.085769,54.646327,3,72.486228,77.411852,0.104964,-8.470026,15.000000,64.462784,64.449996,39,2.131517,0.841946,0
250,0.063735,0.058967,45.753436,4,88.218472,83.820182,0.043014,-15.974114,15.000000,64.496252,64.496252,160,1.405609,1.105128,0
251,0.109975,0.050990,56.686717,3,109.431184,91.937413,0.026809,-11.774301,15.000000,90.480626,90.480626,160,3.008571,1.723156,0
